2024-10-03 17:49:02,903 INFO django.utils.autoreload Watching for file changes with StatReloader
2024-10-04 11:19:11,641 WARNING django.channels.server HTTP GET /jobs/job-sub-categories/?id=[object%20Object] 400 [0.00, 127.0.0.1:54813]
2024-10-04 11:19:11,681 INFO django.channels.server HTTP GET /jobs/job-sub-categories/?id=2 200 [0.01, 127.0.0.1:54819]
2024-10-04 11:19:11,812 WARNING django.channels.server HTTP GET /jobs/job-sub-categories/?id=null 400 [0.01, 127.0.0.1:54785]
2024-10-04 11:19:11,817 WARNING django.channels.server HTTP GET /jobs/job-sub-categories/?id=[object%20Object] 400 [0.02, 127.0.0.1:54821]
2024-10-04 11:19:11,846 INFO django.channels.server HTTP GET /jobs/jobs/ 200 [0.05, 127.0.0.1:54809]
2024-10-04 11:19:11,945 WARNING django.channels.server HTTP GET /jobs/job-sub-categories/?id=null 400 [0.01, 127.0.0.1:54821]
2024-10-04 11:19:11,949 WARNING django.channels.server HTTP GET /jobs/job-sub-categories/?id=[object%20Object] 400 [0.01, 127.0.0.1:54785]
2024-10-04 11:19:12,081 WARNING django.channels.server HTTP GET /jobs/job-sub-categories/?id=null 400 [0.01, 127.0.0.1:54821]
2024-10-04 11:19:12,083 WARNING django.channels.server HTTP GET /jobs/job-sub-categories/?id=[object%20Object] 400 [0.01, 127.0.0.1:54809]
2024-10-04 11:19:12,213 WARNING django.channels.server HTTP GET /jobs/job-sub-categories/?id=[object%20Object] 400 [0.00, 127.0.0.1:54809]
2024-10-04 11:19:12,343 WARNING django.channels.server HTTP GET /jobs/job-sub-categories/?id=[object%20Object] 400 [0.00, 127.0.0.1:54809]
2024-10-04 11:19:12,471 WARNING django.channels.server HTTP GET /jobs/job-sub-categories/?id=[object%20Object] 400 [0.00, 127.0.0.1:54809]
2024-10-04 11:19:12,595 WARNING django.channels.server HTTP GET /jobs/job-sub-categories/?id=[object%20Object] 400 [0.00, 127.0.0.1:54809]
2024-10-04 11:19:12,722 WARNING django.channels.server HTTP GET /jobs/job-sub-categories/?id=[object%20Object] 400 [0.00, 127.0.0.1:54809]
2024-10-04 11:19:12,852 WARNING django.channels.server HTTP GET /jobs/job-sub-categories/?id=[object%20Object] 400 [0.00, 127.0.0.1:54809]
2024-10-04 11:19:12,975 WARNING django.channels.server HTTP GET /jobs/job-sub-categories/?id=[object%20Object] 400 [0.01, 127.0.0.1:54809]
2024-10-04 11:19:13,094 WARNING django.channels.server HTTP GET /jobs/job-sub-categories/?id=[object%20Object] 400 [0.01, 127.0.0.1:54809]
2024-10-04 11:19:13,219 WARNING django.channels.server HTTP GET /jobs/job-sub-categories/?id=[object%20Object] 400 [0.00, 127.0.0.1:54809]
2024-10-04 11:19:13,356 WARNING django.channels.server HTTP GET /jobs/job-sub-categories/?id=[object%20Object] 400 [0.00, 127.0.0.1:54809]
2024-10-04 11:19:13,502 WARNING django.channels.server HTTP GET /jobs/job-sub-categories/?id=[object%20Object] 400 [0.00, 127.0.0.1:54809]
2024-10-04 11:19:13,645 WARNING django.channels.server HTTP GET /jobs/job-sub-categories/?id=[object%20Object] 400 [0.00, 127.0.0.1:54809]
2024-10-04 11:19:13,779 WARNING django.channels.server HTTP GET /jobs/job-sub-categories/?id=[object%20Object] 400 [0.00, 127.0.0.1:54809]
2024-10-04 11:19:13,914 WARNING django.channels.server HTTP GET /jobs/job-sub-categories/?id=[object%20Object] 400 [0.01, 127.0.0.1:54809]
2024-10-04 11:19:14,037 WARNING django.channels.server HTTP GET /jobs/job-sub-categories/?id=[object%20Object] 400 [0.00, 127.0.0.1:54809]
2024-10-04 11:19:14,163 WARNING django.channels.server HTTP GET /jobs/job-sub-categories/?id=[object%20Object] 400 [0.01, 127.0.0.1:54809]
2024-10-04 11:19:14,291 WARNING django.channels.server HTTP GET /jobs/job-sub-categories/?id=[object%20Object] 400 [0.00, 127.0.0.1:54809]
2024-10-04 11:20:06,153 WARNING django.channels.server HTTP GET /jobs/job-sub-categories/?id=null 400 [0.01, 127.0.0.1:54809]
2024-10-04 11:20:06,156 WARNING django.channels.server HTTP GET /jobs/job-sub-categories/?id=[object%20Object] 400 [0.01, 127.0.0.1:54821]
2024-10-04 11:20:06,284 WARNING django.channels.server HTTP GET /jobs/job-sub-categories/?id=[object%20Object] 400 [0.00, 127.0.0.1:54821]
2024-10-04 11:20:06,418 WARNING django.channels.server HTTP GET /jobs/job-sub-categories/?id=[object%20Object] 400 [0.01, 127.0.0.1:54821]
2024-10-04 11:20:06,556 WARNING django.channels.server HTTP GET /jobs/job-sub-categories/?id=[object%20Object] 400 [0.01, 127.0.0.1:54821]
2024-10-04 11:20:06,701 WARNING django.channels.server HTTP GET /jobs/job-sub-categories/?id=[object%20Object] 400 [0.00, 127.0.0.1:54821]
2024-10-04 11:20:06,850 WARNING django.channels.server HTTP GET /jobs/job-sub-categories/?id=[object%20Object] 400 [0.01, 127.0.0.1:54821]
